epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,383.598,1.60849,3.07118,0.01583,0.52795,0.42334,0.42754,0.23656,1.53645,1.42175,0.01693,0.000999167,0.000333056,0.000999167,0.000333056,0.0676936,0.0670275,0.000999167,0.000333056
2,699.147,1.5091,1.69477,0.01458,0.53365,0.58343,0.59295,0.34121,1.52196,1.01988,0.01687,0.00199904,0.000666348,0.00199904,0.000666348,0.0353602,0.0340275,0.00199904,0.000666348
3,1012.31,1.47924,1.43633,0.0141,0.693,0.68644,0.71,0.40923,1.50066,0.90857,0.01669,0.00299843,0.000999478,0.00299843,0.000999478,0.00302621,0.00102726,0.00299843,0.000999478
4,1320.05,1.44884,1.32461,0.01396,0.75514,0.70209,0.75872,0.45403,1.44105,0.82694,0.01591,0.00299835,0.00099945,0.00299835,0.00099945,0.00299835,0.00099945,0.00299835,0.00099945
5,1631.08,1.43054,1.24943,0.01376,0.75698,0.73694,0.79359,0.49087,1.37831,0.77533,0.01496,0.00299707,0.000999023,0.00299707,0.000999023,0.00299707,0.000999023,0.00299707,0.000999023
6,1934.21,1.40326,1.20237,0.01332,0.7568,0.75114,0.79994,0.499,1.35807,0.7578,0.01499,0.00299542,0.000998474,0.00299542,0.000998474,0.00299542,0.000998474,0.00299542,0.000998474
7,2240.08,1.3909,1.16182,0.0133,0.77489,0.78418,0.83209,0.52986,1.29484,0.7298,0.01408,0.00299341,0.000997803,0.00299341,0.000997803,0.00299341,0.000997803,0.00299341,0.000997803
8,2551.2,1.37063,1.13288,0.01311,0.80686,0.77033,0.82862,0.53811,1.26048,0.69345,0.01329,0.00299103,0.000997011,0.00299103,0.000997011,0.00299103,0.000997011,0.00299103,0.000997011
9,309.076,1.36461,1.10871,0.01287,0.7969,0.78802,0.84077,0.54991,1.24664,0.67405,0.01319,0.00298829,0.000996097,0.00298829,0.000996097,0.00298829,0.000996097,0.00298829,0.000996097
10,608.956,1.34895,1.07725,0.01272,0.83088,0.78642,0.8625,0.55699,1.23998,0.67304,0.01303,0.00298519,0.000995062,0.00298519,0.000995062,0.00298519,0.000995062,0.00298519,0.000995062
11,916.835,1.33906,1.05578,0.01252,0.80947,0.79634,0.86071,0.55706,1.2554,0.64665,0.01291,0.00298172,0.000993906,0.00298172,0.000993906,0.00298172,0.000993906,0.00298172,0.000993906
12,293.194,1.28885,0.99306,0.01193,0.81813,0.79016,0.85776,0.5703,1.21142,0.65681,0.01235,0.00297789,0.000992629,0.00297789,0.000992629,0.00297789,0.000992629,0.00297789,0.000992629
13,686.976,1.27153,0.96743,0.01182,0.83127,0.78456,0.85775,0.56001,1.19193,0.65614,0.01203,0.0029737,0.000991232,0.0029737,0.000991232,0.0029737,0.000991232,0.0029737,0.000991232
14,1099.68,1.26719,0.95742,0.01165,0.82697,0.77659,0.85207,0.55739,1.18874,0.63866,0.01199,0.00296915,0.000989715,0.00296915,0.000989715,0.00296915,0.000989715,0.00296915,0.000989715
15,1403.67,1.30931,1.01192,0.01228,0.8105,0.80665,0.86711,0.5822,1.18119,0.62817,0.01182,0.00296424,0.000988079,0.00296424,0.000988079,0.00296424,0.000988079,0.00296424,0.000988079
16,1714.8,1.30435,1.00267,0.01224,0.79404,0.81232,0.86076,0.57812,1.18285,0.63277,0.01194,0.00295897,0.000986323,0.00295897,0.000986323,0.00295897,0.000986323,0.00295897,0.000986323
17,2029.19,1.29064,0.98578,0.012,0.81935,0.82632,0.88177,0.58515,1.20125,0.62784,0.01226,0.00295335,0.000984449,0.00295335,0.000984449,0.00295335,0.000984449,0.00295335,0.000984449
18,2345.33,1.28266,0.96715,0.01201,0.83534,0.79748,0.87815,0.5858,1.16831,0.62573,0.01175,0.00294737,0.000982456,0.00294737,0.000982456,0.00294737,0.000982456,0.00294737,0.000982456
19,2656.09,1.27383,0.95852,0.01194,0.8375,0.80246,0.87839,0.59468,1.17111,0.60335,0.01185,0.00294104,0.000980345,0.00294104,0.000980345,0.00294104,0.000980345,0.00294104,0.000980345
20,2964.43,1.30575,0.9875,0.01224,0.83945,0.81847,0.89292,0.59912,1.16547,0.60884,0.01178,0.00293435,0.000978118,0.00293435,0.000978118,0.00293435,0.000978118,0.00293435,0.000978118
21,294.727,1.23501,0.90691,0.01132,0.81879,0.84187,0.88507,0.6106,1.12367,0.60782,0.01111,0.00292732,0.000975773,0.00292732,0.000975773,0.00292732,0.000975773,0.00292732,0.000975773
22,594.317,1.22303,0.88479,0.01125,0.84656,0.81976,0.88067,0.60098,1.12876,0.61043,0.01117,0.00291994,0.000973312,0.00291994,0.000973312,0.00291994,0.000973312,0.00291994,0.000973312
23,906.931,1.21345,0.88132,0.01101,0.83234,0.83268,0.87874,0.59497,1.15104,0.58296,0.01145,0.00291221,0.000970736,0.00291221,0.000970736,0.00291221,0.000970736,0.00291221,0.000970736
24,1257.07,1.23448,0.90038,0.01141,0.84638,0.80461,0.87684,0.59881,1.13313,0.60272,0.01131,0.00290413,0.000968045,0.00290413,0.000968045,0.00290413,0.000968045,0.00290413,0.000968045
25,1584.05,1.23383,0.89934,0.01142,0.81048,0.7905,0.85668,0.58902,1.11975,0.59473,0.01117,0.00289572,0.000965239,0.00289572,0.000965239,0.00289572,0.000965239,0.00289572,0.000965239
26,1904.48,1.22357,0.88741,0.01124,0.85449,0.80646,0.88237,0.60589,1.12878,0.59294,0.01121,0.00288696,0.00096232,0.00288696,0.00096232,0.00288696,0.00096232,0.00288696,0.00096232
27,305.621,1.17607,0.83261,0.0106,0.84529,0.83082,0.88742,0.61744,1.10707,0.58722,0.01075,0.00287787,0.000959289,0.00287787,0.000959289,0.00287787,0.000959289,0.00287787,0.000959289
28,621.597,1.16649,0.82104,0.0106,0.86062,0.82822,0.89213,0.61108,1.11246,0.57459,0.01101,0.00286843,0.000956145,0.00286843,0.000956145,0.00286843,0.000956145,0.00286843,0.000956145
29,938.698,1.16135,0.8213,0.0104,0.84329,0.82339,0.88932,0.61025,1.11238,0.58328,0.01082,0.00285867,0.000952889,0.00285867,0.000952889,0.00285867,0.000952889,0.00285867,0.000952889
30,1255.47,1.17585,0.83026,0.01075,0.85741,0.80806,0.88814,0.6124,1.11829,0.57152,0.01117,0.00284857,0.000949524,0.00284857,0.000949524,0.00284857,0.000949524,0.00284857,0.000949524
31,1576.14,1.17809,0.82985,0.01073,0.82014,0.83233,0.88414,0.61297,1.10066,0.57299,0.01083,0.00283814,0.000946048,0.00283814,0.000946048,0.00283814,0.000946048,0.00283814,0.000946048
32,1895.14,1.17414,0.82063,0.01068,0.83773,0.82824,0.87946,0.60715,1.11327,0.57797,0.01097,0.00282739,0.000942464,0.00282739,0.000942464,0.00282739,0.000942464,0.00282739,0.000942464
33,2214.05,1.21512,0.87841,0.0112,0.84795,0.81372,0.88677,0.61056,1.11048,0.56576,0.01095,0.00281632,0.000938772,0.00281632,0.000938772,0.00281632,0.000938772,0.00281632,0.000938772
34,2531.97,1.20922,0.86807,0.01115,0.82536,0.83558,0.88802,0.61621,1.11183,0.56599,0.01098,0.00280492,0.000934973,0.00280492,0.000934973,0.00280492,0.000934973,0.00280492,0.000934973
35,2844.35,1.23122,0.88562,0.01134,0.86235,0.81339,0.89868,0.62355,1.11368,0.5498,0.01089,0.0027932,0.000931067,0.0027932,0.000931067,0.0027932,0.000931067,0.0027932,0.000931067
36,3165.77,1.25933,0.93019,0.01165,0.83195,0.84069,0.89713,0.62857,1.0977,0.56565,0.0108,0.00278117,0.000927057,0.00278117,0.000927057,0.00278117,0.000927057,0.00278117,0.000927057
37,3488.53,1.25789,0.92906,0.01153,0.83993,0.84738,0.89432,0.62689,1.0819,0.56454,0.01048,0.00276883,0.000922942,0.00276883,0.000922942,0.00276883,0.000922942,0.00276883,0.000922942
38,3811.07,1.24861,0.91715,0.01163,0.8641,0.8373,0.90737,0.63848,1.08009,0.55747,0.0105,0.00275617,0.000918725,0.00275617,0.000918725,0.00275617,0.000918725,0.00275617,0.000918725
39,4136.12,1.25064,0.91612,0.01156,0.84854,0.85518,0.90915,0.64858,1.07063,0.54506,0.01055,0.00274321,0.000914405,0.00274321,0.000914405,0.00274321,0.000914405,0.00274321,0.000914405
40,4459.7,1.24847,0.90844,0.01126,0.82919,0.85023,0.90077,0.6431,1.05892,0.55503,0.01034,0.00272995,0.000909984,0.00272995,0.000909984,0.00272995,0.000909984,0.00272995,0.000909984
41,900.08,1.14406,0.78961,0.01031,0.82934,0.86609,0.90202,0.64557,1.06439,0.54435,0.01043,0.00271639,0.000905463,0.00271639,0.000905463,0.00271639,0.000905463,0.00271639,0.000905463
42,1828.57,1.13482,0.77691,0.01023,0.87441,0.85296,0.91658,0.64981,1.07634,0.53935,0.01049,0.00270253,0.000900844,0.00270253,0.000900844,0.00270253,0.000900844,0.00270253,0.000900844
43,2715.1,1.12839,0.77484,0.01005,0.83998,0.87017,0.90812,0.6466,1.05812,0.53765,0.01031,0.00268838,0.000896127,0.00268838,0.000896127,0.00268838,0.000896127,0.00268838,0.000896127
44,3605.9,1.13375,0.78261,0.01026,0.87578,0.82491,0.90672,0.64977,1.05676,0.5244,0.01038,0.00267394,0.000891313,0.00267394,0.000891313,0.00267394,0.000891313,0.00267394,0.000891313
45,4502.14,1.13134,0.77224,0.01024,0.88279,0.85268,0.9158,0.65728,1.04618,0.51802,0.01017,0.00265921,0.000886404,0.00265921,0.000886404,0.00265921,0.000886404,0.00265921,0.000886404
46,5422.23,1.12772,0.76315,0.01015,0.85921,0.85155,0.90936,0.65672,1.0439,0.51679,0.01029,0.0026442,0.000881401,0.0026442,0.000881401,0.0026442,0.000881401,0.0026442,0.000881401
47,6263.48,1.14914,0.79499,0.01047,0.88182,0.84227,0.91079,0.66149,1.04871,0.52355,0.0104,0.00262891,0.000876305,0.00262891,0.000876305,0.00262891,0.000876305,0.00262891,0.000876305
48,7132.72,1.1434,0.78882,0.01041,0.84092,0.8599,0.91053,0.66281,1.03809,0.5185,0.01026,0.00261335,0.000871117,0.00261335,0.000871117,0.00261335,0.000871117,0.00261335,0.000871117
49,7972.93,1.15998,0.7999,0.01055,0.87416,0.85516,0.91625,0.66811,1.03395,0.50911,0.01021,0.00259752,0.000865839,0.00259752,0.000865839,0.00259752,0.000865839,0.00259752,0.000865839
50,299.963,1.08117,0.72217,0.00958,0.86712,0.87457,0.91844,0.6684,1.02896,0.50874,0.01012,0.00258142,0.000860473,0.00258142,0.000860473,0.00258142,0.000860473,0.00258142,0.000860473
51,743.523,1.08136,0.71732,0.00969,0.86893,0.86279,0.91573,0.66315,1.04407,0.50987,0.01034,0.00256505,0.000855018,0.00256505,0.000855018,0.00256505,0.000855018,0.00256505,0.000855018
52,1094.31,1.07782,0.71589,0.00951,0.87667,0.85105,0.91661,0.66618,1.04076,0.50414,0.01017,0.00254843,0.000849477,0.00254843,0.000849477,0.00254843,0.000849477,0.00254843,0.000849477
53,1398.93,1.07919,0.71772,0.0097,0.86368,0.85063,0.91261,0.6625,1.02936,0.51154,0.01007,0.00253155,0.000843851,0.00253155,0.000843851,0.00253155,0.000843851,0.00253155,0.000843851
54,1707.23,1.07873,0.72034,0.00967,0.91311,0.82639,0.91955,0.67157,1.0245,0.51607,0.01002,0.00251442,0.000838141,0.00251442,0.000838141,0.00251442,0.000838141,0.00251442,0.000838141
55,2015.59,1.07495,0.71474,0.00957,0.88066,0.86019,0.91291,0.66424,1.02659,0.51721,0.01014,0.00249705,0.000832349,0.00249705,0.000832349,0.00249705,0.000832349,0.00249705,0.000832349
56,2321.96,1.09699,0.73219,0.00991,0.88642,0.84794,0.91511,0.66686,1.02742,0.51143,0.01028,0.00247943,0.000826477,0.00247943,0.000826477,0.00247943,0.000826477,0.00247943,0.000826477
57,2637.36,1.09106,0.73141,0.00985,0.87813,0.85968,0.91396,0.66747,1.01714,0.51597,0.01002,0.00246157,0.000820525,0.00246157,0.000820525,0.00246157,0.000820525,0.00246157,0.000820525
58,3160.1,1.12269,0.75857,0.01013,0.88115,0.84928,0.91534,0.66796,1.02356,0.51294,0.01011,0.00244349,0.000814495,0.00244349,0.000814495,0.00244349,0.000814495,0.00244349,0.000814495
59,4079.87,1.17951,0.82745,0.01077,0.87373,0.86557,0.91717,0.67408,1.01657,0.50079,0.01004,0.00242517,0.000808389,0.00242517,0.000808389,0.00242517,0.000808389,0.00242517,0.000808389
60,4981.77,1.17778,0.82193,0.01068,0.88765,0.86093,0.92244,0.67755,1.0156,0.49344,0.00992,0.00240662,0.000802208,0.00240662,0.000802208,0.00240662,0.000802208,0.00240662,0.000802208
61,5942.55,1.16942,0.81525,0.01076,0.85557,0.8788,0.92166,0.67266,1.01803,0.49008,0.00994,0.00238786,0.000795954,0.00238786,0.000795954,0.00238786,0.000795954,0.00238786,0.000795954
62,681.924,1.03803,0.6823,0.00912,0.87188,0.87463,0.92665,0.67938,1.00958,0.48645,0.0098,0.00236888,0.000789628,0.00236888,0.000789628,0.00236888,0.000789628,0.00236888,0.000789628
63,978.412,1.04116,0.67554,0.00925,0.85731,0.87897,0.9195,0.67581,1.0121,0.50187,0.00985,0.00234969,0.000783231,0.00234969,0.000783231,0.00234969,0.000783231,0.00234969,0.000783231
64,1283.71,1.03656,0.67563,0.00909,0.86307,0.88279,0.92131,0.67678,1.00755,0.51055,0.00983,0.0023303,0.000776766,0.0023303,0.000776766,0.0023303,0.000776766,0.0023303,0.000776766
65,1727.33,1.03646,0.67655,0.00919,0.87702,0.88954,0.92533,0.67961,1.00694,0.49683,0.00985,0.0023107,0.000770234,0.0023107,0.000770234,0.0023107,0.000770234,0.0023107,0.000770234
